Angle,Magnet current (A),R2w,R2werr,Theta2w,R1w,R1werr,Theta1w,X2,Y2,X1,Y1,I_source (mA),f_source (Hz)
0.0,0.1,0.000218437,0.0,-179.694,0.000121356,0.0,-176.946,-0.000218445,-2.08618e-06,-0.000121356,-6.55654e-06,10.0,505.0
0.0,0.1,0.000218437,0.0,-179.226,0.000242115,0.0,-178.47,-0.000218445,-3.65825e-06,-0.000242115,-6.55654e-06,10.0,505.0
0.0,0.1,0.000188881,0.0,-179.31,0.000277998,0.0,-178.668,-0.000188873,-2.28734e-06,-0.000277998,-6.55654e-06,10.0,505.0
9.0,0.1,0.000149713,0.0,-179.652,0.000209094,0.0,-178.194,-0.00014972,-9.16425e-07,-0.000209094,-6.67575e-06,10.0,505.0
9.0,0.1,0.000140325,0.0,-179.682,8.45199e-05,0.0,-175.524,-0.000140333,-7.74864e-07,-8.42814e-05,-6.67575e-06,10.0,505.0
9.0,0.1,0.000130975,0.0,-179.718,3.61206e-05,0.0,-169.476,-0.000130982,-6.48204e-07,-3.56438e-05,-6.67575e-06,10.0,505.0
18.0,0.1,0.000125297,0.0,-179.736,4.64919e-05,0.0,-8.154,-0.000125305,-5.81149e-07,4.6015e-05,-6.67575e-06,10.0,505.0
18.0,0.1,0.000114777,0.0,-179.646,0.000152112,0.0,-2.46,-0.000114784,-7.15259e-07,0.000151993,-6.55654e-06,10.0,505.0
18.0,0.1,0.000102155,0.0,-179.526,0.000193239,0.0,-1.896,-0.000102155,-8.4937e-07,0.00019312,-6.43733e-06,10.0,505.0
27.0,0.1,9.41386e-05,0.0,-179.31,0.000255229,0.0,-1.452,-9.41386e-05,-1.13995e-06,0.00025511,-6.55654e-06,10.0,505.0
27.0,0.1,8.21878e-05,0.0,-179.226,0.000332953,0.0,-1.146,-8.21878e-05,-1.11759e-06,0.000332953,-6.67575e-06,10.0,505.0
27.0,0.1,6.81286e-05,0.0,-179.154,0.000363233,0.0,-1.032,-6.81286e-05,-1.01329e-06,0.000363233,-6.55654e-06,10.0,505.0
36.0,0.1,5.93292e-05,0.0,-179.022,0.00040281,0.0,-0.912,-5.93292e-05,-1.02074e-06,0.00040281,-6.43733e-06,10.0,505.0
36.0,0.1,4.78404e-05,0.0,-178.692,0.000450732,0.0,-0.798,-4.7833e-05,-1.09524e-06,0.000450732,-6.31812e-06,10.0,505.0
36.0,0.1,3.43325e-05,0.0,-178.134,0.00046921,0.0,-0.768,-3.43251e-05,-1.12504e-06,0.00046909,-6.31812e-06,10.0,505.0
45.0,0.1,2.59356e-05,0.0,-177.366,0.000485303,0.0,-0.762,-2.59132e-05,-1.19955e-06,0.000485303,-6.55654e-06,10.0,505.0
45.0,0.1,1.67714e-05,0.0,-175.734,0.000501398,0.0,-0.75,-1.67267e-05,-1.2517e-06,0.000501279,-6.55654e-06,10.0,505.0
45.0,0.1,6.29577e-06,0.0,-168.654,0.000507358,0.0,-0.726,-6.18401e-06,-1.24425e-06,0.000507239,-6.43733e-06,10.0,505.0
54.0,0.1,1.2368e-06,0.0,-75.66599999999998,0.000500683,0.0,-0.72,3.05476e-07,-1.207e-06,0.000500564,-6.31812e-06,10.0,505.0
54.0,0.1,7.07063e-06,0.0,-9.552,0.000486018,0.0,-0.732,6.96632e-06,-1.1772e-06,0.000486018,-6.31812e-06,10.0,505.0
54.0,0.1,1.45659e-05,0.0,-4.458,0.000480177,0.0,-0.756,1.45212e-05,-1.13995e-06,0.000480058,-6.43733e-06,10.0,505.0
63.0,0.1,1.93716e-05,0.0,-3.672,0.000451686,0.0,-0.84,1.93269e-05,-1.24425e-06,0.000451567,-6.67575e-06,10.0,505.0
63.0,0.1,2.32385e-05,0.0,-2.826,0.000408174,0.0,-0.924,2.32161e-05,-1.1474e-06,0.000408174,-6.67575e-06,10.0,505.0
63.0,0.1,2.75449e-05,0.0,-2.16,0.000391008,0.0,-0.936,2.753e-05,-1.04309e-06,0.000390889,-6.43733e-06,10.0,505.0
72.0,0.1,3.00185e-05,0.0,-2.022,0.000342252,0.0,-1.062,2.99962e-05,-1.06544e-06,0.000342133,-6.43733e-06,10.0,505.0
72.0,0.1,3.09648e-05,0.0,-1.95,0.000271441,0.0,-1.38,3.09499e-05,-1.05799e-06,0.000271322,-6.55654e-06,10.0,505.0
72.0,0.1,3.1844e-05,0.0,-1.896,0.000243784,0.0,-1.518,3.18217e-05,-1.05799e-06,0.000243784,-6.55654e-06,10.0,505.0
81.0,0.1,3.20154e-05,0.0,-1.956,0.000178576,0.0,-2.052,3.1993e-05,-1.09524e-06,0.000178338,-6.43733e-06,10.0,505.0
81.0,0.1,2.96981e-05,0.0,-2.136,8.6308e-05,0.0,-4.296,2.96832e-05,-1.11014e-06,8.60696e-05,-6.55654e-06,10.0,505.0
81.0,0.1,2.66136e-05,0.0,-2.382,5.04258e-05,0.0,-7.518,2.65987e-05,-1.11014e-06,4.99489e-05,-6.67575e-06,10.0,505.0
